semesters_completed,cpi,internal_marks_percentage,attendance_percentage,total_backlogs,study_hours_weekly,pyq_solving_frequency,sleep_category,gaming_hours_weekly,extra_curricular_level,travel_time_category,department
2,6.91,64.0,81.6,0,18.1,2,6-8,8.2,Medium,<30,IT
7,5.77,51.8,72.5,3,5.4,0,6-8,10.1,Medium,>60,ME
7,7.21,57.1,76.9,2,20.1,3,>8,7.2,High,30-60,ICT
5,6.85,57.1,83.2,1,20.3,1,>8,10.2,Medium,>60,CE
6,7.32,65.1,77.2,0,19.5,3,6-8,8.1,Medium,30-60,ME
2,5.11,50.2,55.7,5,11.5,1,<6,10.6,Low,30-60,ME
5,6.15,65.5,68.1,1,8.6,1,<6,10.4,Medium,<30,IT
0,5.33,51.5,62.9,-1,14.1,2,>8,9.3,Medium,30-60,ICT
7,4.66,37.4,64.4,7,6.8,1,6-8,11.3,Medium,30-60,CE
5,7.21,51.5,90.9,0,8.1,4,6-8,7.0,Medium,30-60,EC
2,7.46,55.6,73.9,2,21.7,2,6-8,9.4,Medium,<30,ICT
6,6.92,47.1,75.3,4,16.0,2,<6,6.1,Medium,30-60,ME
0,5.0,49.2,77.4,-1,15.6,1,6-8,6.5,Low,30-60,EE
3,5.46,46.1,66.4,5,5.5,0,6-8,11.9,Medium,30-60,ME
7,6.32,59.5,70.5,2,11.2,3,6-8,10.4,Medium,>60,ICT
2,6.41,46.5,79.5,4,10.4,1,<6,7.9,Low,30-60,ICT
5,5.42,39.2,64.7,5,14.1,2,<6,11.6,Low,<30,ME
3,6.25,52.3,82.8,4,13.6,1,<6,9.1,High,30-60,ME
3,7.1,70.8,77.3,3,20.9,2,<6,6.4,Medium,30-60,ICT
5,8.98,77.1,95.1,0,28.4,5,<6,2.3,Low,<30,EC
7,6.44,61.8,72.5,0,18.6,2,<6,11.3,Medium,>60,IT
1,6.14,65.3,77.4,2,19.4,1,6-8,4.9,High,30-60,IT
2,7.2,55.8,60.6,1,11.7,3,6-8,8.5,Medium,<30,EC
4,4.45,32.2,59.8,5,6.5,1,<6,9.2,Low,<30,IT
4,6.45,56.0,74.6,1,13.1,2,6-8,7.0,Low,<30,ME
3,6.58,61.9,70.1,1,19.6,3,6-8,8.7,High,>60,EE
6,9.74,92.3,100.0,0,12.6,5,6-8,0.9,Medium,30-60,CE
6,6.28,72.4,70.6,6,13.4,2,>8,4.7,Low,30-60,IT
3,6.08,57.7,71.2,2,18.2,2,6-8,9.7,Medium,30-60,IT
0,6.95,60.7,69.6,-1,22.0,2,6-8,9.5,High,30-60,IT
1,6.48,55.9,55.8,2,13.4,0,6-8,6.1,High,>60,ICT
4,8.01,73.4,80.0,0,22.6,5,6-8,8.2,Medium,>60,EC
7,7.79,72.6,65.9,0,21.9,4,6-8,8.6,Medium,<30,CE
4,6.58,73.5,82.0,1,23.0,2,6-8,4.8,High,30-60,IT
4,5.68,50.6,61.8,4,9.5,1,<6,14.3,Low,>60,ICT
5,7.44,78.7,78.7,0,22.7,4,<6,1.3,High,<30,ICT
1,4.63,42.5,81.6,5,6.2,0,>8,8.0,Medium,30-60,ICT
1,7.52,71.9,78.5,1,9.3,2,6-8,4.5,Medium,30-60,EE
3,8.49,80.7,98.7,0,32.2,4,6-8,1.3,Medium,30-60,IT
7,5.14,47.0,76.9,8,9.1,0,>8,8.1,Medium,30-60,IT
6,5.56,58.8,80.2,5,11.4,1,>8,11.0,Medium,<30,CE
5,6.98,67.3,85.5,4,8.9,2,6-8,2.1,Medium,30-60,ME
3,5.71,53.7,63.9,2,4.1,2,6-8,3.8,Low,<30,ME
4,4.48,36.8,67.7,5,3.0,2,6-8,11.1,Medium,30-60,EE
2,6.96,67.8,72.1,4,15.0,1,6-8,9.8,Medium,<30,ICT
5,5.59,55.4,74.0,8,3.0,1,<6,15.7,Medium,30-60,ICT
3,6.47,66.0,71.8,2,16.4,3,6-8,6.1,Medium,30-60,IT
1,6.87,61.6,64.6,4,10.3,2,6-8,12.4,Medium,>60,IT
2,9.21,70.8,95.6,0,24.6,4,6-8,5.8,Low,30-60,EC
4,6.46,40.9,73.7,1,6.5,1,<6,12.9,Low,<30,CE
5,6.0,52.3,69.7,4,16.1,2,6-8,9.3,Medium,>60,ICT
0,9.27,61.1,72.5,-1,14.2,4,<6,2.7,Medium,30-60,IT
6,5.08,36.4,70.4,8,11.9,1,<6,9.5,Medium,>60,ME
6,7.36,50.4,77.2,1,18.9,2,6-8,2.0,Medium,30-60,CE
5,7.52,80.4,81.4,1,23.6,5,>8,0.0,Medium,30-60,IT
5,5.45,46.4,70.4,8,13.9,0,6-8,14.4,Medium,30-60,CE
2,7.05,70.0,69.0,3,13.8,3,<6,8.5,Low,<30,ME
7,6.83,77.2,69.4,1,15.1,2,<6,9.2,High,30-60,EE
2,7.03,67.9,77.1,1,20.5,4,6-8,7.3,Medium,<30,IT
1,5.62,45.0,51.2,6,7.1,2,>8,13.7,Low,>60,EC
5,5.05,47.3,61.6,5,7.9,1,>8,14.1,Medium,<30,EE
3,7.44,53.9,79.9,3,17.4,0,>8,8.7,High,30-60,CE
7,7.21,74.9,80.5,1,16.8,2,6-8,10.7,Medium,<30,IT
3,7.03,61.2,73.2,3,19.1,3,<6,6.7,High,<30,IT
1,7.87,67.8,59.1,0,21.2,1,6-8,4.9,High,<30,ICT
7,5.16,46.2,71.1,3,14.1,1,6-8,9.8,Low,30-60,IT
4,7.35,51.5,79.5,2,11.0,3,6-8,7.6,High,30-60,IT
4,6.27,68.2,73.9,3,23.1,1,6-8,7.9,Low,>60,EE
3,5.66,54.5,72.8,2,6.7,1,6-8,12.7,Medium,<30,EC
6,7.86,82.0,97.7,0,25.0,3,<6,2.2,High,<30,EC
2,7.07,70.1,77.1,2,19.1,3,<6,7.9,Medium,<30,CE
0,9.19,47.1,62.3,-1,11.3,1,<6,14.7,Medium,<30,CE
4,6.88,61.8,90.0,0,17.1,5,6-8,0.0,Low,30-60,ICT
7,5.82,48.8,68.4,4,9.9,1,6-8,13.1,Medium,<30,CE
2,6.36,72.1,71.1,0,22.9,3,<6,4.9,Medium,30-60,ME
2,7.43,60.9,83.2,1,23.6,4,<6,7.1,Medium,<30,EC
5,4.7,52.2,73.1,4,13.7,1,<6,4.9,Medium,>60,EE
6,7.58,74.1,89.4,2,19.5,3,6-8,2.8,High,30-60,IT
3,6.1,73.8,88.8,2,22.4,2,<6,5.2,Medium,30-60,IT
6,7.1,67.7,82.7,1,20.0,4,<6,6.3,Medium,<30,EC
1,10.0,78.7,86.8,0,27.3,5,6-8,5.6,Medium,30-60,EC
3,4.84,50.5,70.6,2,11.5,1,6-8,5.2,Medium,<30,ME
3,4.89,45.5,70.2,2,11.6,1,6-8,12.0,High,>60,ICT
2,4.11,51.0,71.4,6,9.1,2,<6,7.0,Low,<30,ME
2,6.07,52.0,66.3,4,10.4,1,<6,12.1,Low,30-60,ME
2,6.86,53.5,67.8,0,15.5,1,>8,10.0,Medium,<30,EC
0,8.43,73.5,78.1,-1,23.4,4,6-8,3.9,Medium,30-60,EC
5,7.05,69.9,65.9,0,18.8,4,<6,7.8,Medium,<30,IT
5,7.85,73.1,76.0,0,17.7,3,>8,9.2,High,30-60,EE
3,6.68,67.7,67.6,2,11.8,2,<6,10.2,Medium,>60,EC
2,6.92,79.3,87.8,0,19.2,3,6-8,0.0,High,>60,EC
3,5.51,57.9,75.4,2,18.5,1,<6,7.9,Low,>60,IT
7,9.72,86.3,98.6,0,28.5,4,6-8,0.3,Medium,30-60,ICT
4,6.74,73.1,76.0,1,20.0,3,>8,11.3,High,<30,ME
5,4.72,45.6,56.8,5,5.8,2,<6,8.3,Low,>60,ME
2,5.84,56.2,56.5,5,6.3,1,>8,13.3,High,<30,IT
0,9.0,80.0,78.6,-1,17.9,2,6-8,8.4,High,30-60,EC
0,9.05,58.0,65.4,-1,18.0,1,<6,9.7,Medium,30-60,EC
3,8.25,66.0,77.4,0,15.7,5,<6,6.0,Medium,30-60,IT
5,6.71,72.1,71.5,0,19.0,3,<6,8.6,Low,30-60,EE
6,5.54,64.7,74.6,3,15.5,2,<6,9.7,Medium,30-60,ICT
5,5.66,50.0,61.4,2,7.9,1,>8,9.4,Medium,<30,ICT
7,4.28,47.6,67.6,3,4.2,0,<6,8.6,Medium,<30,ME
0,7.78,59.6,65.6,-1,20.4,1,>8,7.8,Low,30-60,CE
6,7.72,72.6,76.2,1,22.0,4,6-8,6.3,Low,>60,EE
5,6.65,71.0,79.9,2,18.9,2,6-8,0.7,Medium,>60,EC
1,5.59,33.7,65.1,2,11.0,0,<6,12.7,Medium,30-60,CE
5,6.95,71.1,75.8,1,11.3,2,6-8,5.7,Low,30-60,EC
4,6.57,51.9,80.5,5,16.1,1,6-8,6.0,Low,<30,EE
3,4.71,47.9,65.7,3,10.3,2,>8,16.9,Low,30-60,ME
2,6.5,65.9,90.7,1,16.2,1,<6,11.1,Medium,30-60,EE
3,6.76,65.0,80.0,4,18.5,2,6-8,2.6,Low,30-60,IT
2,5.08,42.3,52.0,5,9.4,1,>8,19.5,Medium,30-60,ICT
0,7.45,85.7,71.6,-1,21.3,3,>8,5.8,Medium,30-60,IT
6,7.58,85.9,75.2,1,19.4,2,6-8,7.9,Medium,30-60,CE
4,7.27,70.3,73.4,1,18.0,3,6-8,5.0,Medium,<30,EE
3,7.93,74.2,79.6,1,20.5,3,<6,5.6,Medium,>60,IT
3,4.61,40.1,63.6,3,9.0,0,<6,10.5,Medium,30-60,ICT
6,5.59,39.8,71.0,2,3.0,0,<6,12.1,Medium,30-60,EC
2,7.67,61.1,73.2,2,17.8,3,6-8,11.5,Low,>60,IT
3,7.07,71.4,86.6,2,19.3,3,<6,6.5,Medium,30-60,EC
6,8.15,62.0,78.1,1,17.4,2,6-8,5.4,Medium,>60,IT
1,10.0,99.1,100.0,0,34.4,5,<6,0.0,Low,30-60,CE
5,6.84,69.1,74.2,4,16.0,3,<6,3.9,Low,<30,EE
3,9.08,58.6,78.1,0,29.6,4,>8,7.5,Medium,30-60,EE
4,7.62,72.6,89.3,1,18.1,3,6-8,5.6,Medium,>60,EC
6,6.87,66.2,98.5,1,20.3,2,>8,2.0,High,<30,IT
7,6.07,66.7,65.7,4,23.8,2,>8,7.6,Medium,<30,EE
6,7.0,69.9,82.1,1,18.5,2,6-8,9.1,High,<30,CE
1,6.01,57.1,64.1,5,5.6,0,<6,8.1,Low,30-60,EE
2,6.25,57.2,71.3,0,14.9,0,6-8,5.0,Low,<30,EC
3,6.35,56.6,66.8,4,9.5,2,6-8,8.2,Low,<30,EE
5,6.53,59.5,62.8,2,14.0,2,6-8,4.8,Medium,>60,EC
4,9.15,86.4,96.9,0,30.0,5,6-8,5.7,Medium,30-60,EC
7,4.27,45.6,57.4,6,3.0,0,<6,13.7,Medium,<30,CE
0,8.67,69.8,78.6,-1,12.2,3,<6,6.2,Medium,<30,EE
2,5.21,33.2,53.0,6,4.9,0,6-8,12.7,Low,<30,IT
2,5.2,53.2,73.4,5,3.0,2,<6,1.1,Low,30-60,EC
5,8.61,84.0,75.9,0,19.3,2,6-8,3.5,High,>60,ME
3,6.65,57.0,90.8,1,15.8,1,6-8,9.6,Medium,30-60,IT
0,8.48,45.5,62.5,-1,12.2,0,6-8,14.9,Medium,>60,EC
6,6.0,48.4,73.1,6,11.3,1,6-8,11.2,Medium,30-60,EE
3,7.33,65.5,87.6,1,14.3,2,6-8,2.7,Medium,30-60,ME
2,5.24,58.0,59.2,1,6.1,1,>8,7.9,Low,30-60,ICT
1,6.95,63.8,68.7,2,11.3,2,6-8,4.1,Medium,<30,EC
7,7.05,69.1,72.7,1,18.7,3,<6,9.6,High,>60,EE
7,5.57,36.1,66.9,5,12.0,1,6-8,5.3,High,>60,ICT
0,7.97,88.8,86.0,-1,32.0,5,6-8,0.9,Medium,>60,ICT
2,7.76,62.4,72.2,0,27.1,2,6-8,10.1,Low,<30,CE
5,4.03,30.7,64.6,6,3.0,0,<6,12.1,Medium,<30,EC
5,6.63,54.5,72.7,5,14.8,2,<6,8.8,Medium,<30,EE
3,4.95,51.7,61.1,7,9.9,2,6-8,16.0,Medium,<30,IT
4,7.99,52.6,74.4,0,18.5,3,6-8,3.5,Medium,30-60,IT
5,5.14,50.8,71.7,5,9.4,1,<6,10.2,Low,<30,CE
7,6.55,55.3,76.4,1,12.8,1,>8,8.7,Low,30-60,ICT
5,7.34,57.7,61.2,3,19.9,1,6-8,4.7,Low,30-60,EC
1,7.34,76.7,81.4,0,18.0,5,6-8,2.7,Low,30-60,ME
5,5.32,49.3,60.2,5,11.6,0,6-8,11.7,High,>60,EC
0,6.67,48.4,82.4,-1,12.7,2,<6,12.6,High,<30,ICT
4,7.07,60.0,83.1,2,6.5,1,<6,15.9,Medium,30-60,CE
4,5.42,54.9,67.9,3,11.7,2,<6,9.7,Low,30-60,EE
6,8.12,78.9,89.5,0,28.6,4,<6,1.9,Low,30-60,EC
0,8.32,45.9,85.4,-1,20.2,3,>8,4.4,High,30-60,CE
6,4.94,44.4,71.0,6,6.0,0,<6,9.1,Medium,<30,CE
5,7.42,74.9,83.5,0,23.5,4,6-8,4.3,Medium,30-60,CE
0,7.91,76.7,90.2,-1,32.0,5,6-8,0.3,High,<30,EE
1,7.8,76.5,77.9,1,19.5,4,6-8,7.7,Medium,<30,EE
0,5.65,29.7,78.4,-1,4.5,1,6-8,13.6,Medium,<30,IT
6,6.18,64.9,78.7,3,15.1,2,>8,11.8,Medium,>60,EC
1,7.98,62.6,91.2,0,14.6,3,>8,1.9,Low,>60,ME
0,7.2,37.8,91.0,-1,13.2,2,6-8,5.7,Medium,<30,ICT
1,7.9,62.3,79.8,1,15.1,1,6-8,9.8,Medium,<30,ICT
4,8.14,64.2,75.2,2,22.7,3,6-8,1.3,Medium,<30,EC
4,4.89,51.6,63.9,4,7.6,0,6-8,7.7,Low,30-60,EC
2,5.58,42.7,65.0,1,13.3,1,6-8,9.0,High,<30,ICT
7,2.56,20.0,51.2,8,3.0,0,<6,20.0,Medium,<30,ICT
6,5.32,48.8,58.7,7,9.8,1,6-8,10.0,Medium,<30,EE
2,6.08,46.0,76.1,2,13.1,1,>8,7.2,Low,<30,IT
3,5.09,45.3,75.1,3,5.7,1,6-8,14.7,Low,30-60,ME
4,8.07,74.3,94.3,0,14.1,4,6-8,1.4,Low,30-60,ICT
6,4.44,40.6,62.7,6,5.6,0,<6,12.4,Medium,<30,EE
3,6.57,45.0,66.5,2,11.4,2,6-8,8.9,Medium,30-60,EE
4,7.4,52.5,77.2,5,13.9,2,6-8,12.4,High,30-60,EE
3,7.61,80.5,90.5,0,21.1,4,6-8,3.6,High,>60,EC
6,4.31,36.1,54.4,5,5.3,0,6-8,12.3,Low,30-60,IT
4,7.96,84.4,86.6,0,16.7,4,6-8,4.6,Medium,30-60,ICT
6,6.19,66.9,70.6,4,16.9,2,6-8,7.7,Medium,<30,EC
0,5.27,34.3,57.8,-1,12.5,0,>8,15.1,Low,>60,EC
7,6.71,69.7,70.9,4,18.6,2,6-8,6.8,Medium,>60,EC
6,6.72,53.1,62.4,2,11.1,3,<6,10.4,Low,<30,ICT
6,5.26,55.3,58.5,4,15.2,2,<6,11.0,Medium,<30,ME
1,6.16,70.6,80.5,3,12.3,3,<6,6.7,Low,30-60,EC
2,5.93,62.9,78.2,0,8.4,2,>8,10.5,Medium,30-60,ME
7,5.95,67.8,72.1,2,12.2,2,6-8,6.7,High,<30,EE
7,7.07,49.7,84.6,1,14.8,3,<6,0.0,Low,<30,IT
2,8.28,67.7,82.0,0,19.6,4,6-8,6.5,Medium,30-60,EE
3,4.62,39.5,63.5,6,4.5,0,<6,11.1,High,>60,CE
1,9.1,93.3,94.5,0,27.9,5,<6,2.3,Low,<30,EC
2,4.05,34.2,63.3,8,4.4,0,<6,13.6,Low,30-60,IT
1,8.13,41.8,68.2,2,12.2,2,>8,11.2,Medium,>60,EC
0,7.93,71.8,74.9,-1,19.5,3,6-8,6.7,Medium,30-60,EE
4,6.42,52.0,81.8,2,16.9,4,6-8,12.1,Medium,>60,EE
2,5.07,56.6,57.9,3,12.6,0,<6,7.8,Low,<30,EC
7,6.56,49.4,73.1,0,16.4,2,<6,9.8,Medium,<30,ME
4,5.31,48.3,71.9,7,9.6,1,6-8,11.6,Medium,>60,ME
3,6.21,55.4,72.6,4,21.9,1,<6,12.5,Low,30-60,ICT
7,8.0,74.1,92.1,1,16.7,3,<6,6.0,Low,<30,EC
5,7.26,59.4,88.1,3,12.6,4,>8,8.7,Low,<30,ICT
1,6.37,57.0,70.7,6,5.5,1,<6,11.6,High,<30,CE
4,7.8,65.0,83.2,2,20.5,4,6-8,4.8,Low,30-60,ME
3,7.17,63.2,78.2,1,20.8,1,6-8,3.1,Low,>60,EC
6,7.0,72.1,83.3,0,18.6,3,6-8,5.6,Medium,<30,EE
5,8.09,62.8,89.6,1,17.5,3,6-8,3.8,Low,>60,EC
3,6.65,56.2,64.1,5,7.5,1,6-8,9.9,Medium,30-60,CE
3,5.22,42.0,70.3,4,6.6,1,6-8,16.3,Medium,<30,IT
4,7.5,72.4,83.2,1,22.4,3,6-8,8.6,Medium,>60,CE
3,7.76,75.0,90.4,2,17.9,4,<6,9.7,Low,<30,ME
1,6.99,57.0,62.6,3,20.3,2,6-8,7.6,Low,30-60,CE
7,7.18,57.1,56.7,3,15.5,2,>8,6.6,Low,30-60,ICT
5,8.4,76.5,88.7,0,15.0,4,6-8,7.5,High,30-60,IT
3,6.06,62.9,66.8,2,11.6,2,>8,6.0,Low,<30,EC
4,7.18,67.3,73.9,2,19.7,3,6-8,5.5,Medium,30-60,ICT
2,6.38,53.7,71.5,1,19.3,2,6-8,9.1,Low,30-60,IT
4,6.76,62.6,71.8,2,7.4,1,<6,5.3,Medium,>60,ME
5,8.16,83.0,76.6,0,15.3,3,6-8,8.9,Medium,30-60,CE
4,7.38,70.3,79.2,0,18.6,3,6-8,8.5,Low,30-60,CE
4,7.55,72.5,83.2,1,16.4,3,6-8,7.8,High,<30,ME
3,8.03,61.3,93.3,0,31.1,2,>8,0.0,Low,30-60,CE
6,6.38,60.2,82.2,1,16.4,2,<6,3.8,Low,30-60,ME
6,6.68,70.1,84.2,0,16.3,4,6-8,3.1,High,<30,EE
6,5.94,56.6,67.3,2,18.0,1,6-8,4.9,Medium,30-60,CE
2,7.28,47.0,71.1,4,22.9,3,6-8,10.5,Low,30-60,EE
4,6.48,50.5,78.0,6,19.5,3,6-8,7.0,High,>60,ME
6,6.99,51.6,79.9,4,17.0,2,>8,8.2,High,30-60,EE
4,7.54,74.9,85.4,2,20.3,2,>8,5.8,Medium,<30,EC
6,6.25,49.4,67.9,6,17.2,0,6-8,12.1,Low,30-60,ICT
6,8.79,90.9,100.0,0,24.7,4,6-8,1.9,Low,30-60,CE
1,5.18,40.5,65.3,5,12.2,0,<6,9.4,Low,30-60,ICT
2,3.54,43.3,66.7,3,7.4,0,6-8,8.7,High,30-60,ICT
4,7.58,77.8,78.8,0,17.1,3,<6,1.0,Medium,30-60,IT
2,7.64,64.2,87.5,2,22.0,3,6-8,0.0,High,30-60,EC
7,7.46,77.8,85.3,1,18.4,3,<6,7.3,Medium,30-60,ICT
1,7.13,73.4,83.6,5,25.0,3,6-8,3.2,Medium,<30,ICT
3,6.0,59.8,68.2,5,13.9,2,>8,5.1,High,30-60,CE
7,6.05,52.0,78.0,2,5.8,1,<6,11.2,High,<30,EE
1,6.11,62.2,82.5,1,14.9,4,6-8,9.3,Low,>60,ME
3,4.53,63.0,80.6,3,15.4,3,<6,13.5,High,<30,ME
2,6.51,82.0,78.8,1,17.1,2,6-8,10.5,High,>60,EC
6,6.85,64.1,72.3,3,11.7,1,<6,9.0,High,<30,ICT
2,5.96,54.7,67.5,7,11.8,0,6-8,10.9,High,<30,EE
1,6.52,47.5,64.6,1,16.6,2,6-8,6.5,Medium,30-60,EE
7,6.81,66.8,78.0,0,16.9,3,>8,4.8,High,30-60,IT
2,4.42,43.3,64.6,4,13.1,1,<6,11.0,Low,30-60,ME
5,4.9,43.8,68.8,1,8.8,1,>8,7.0,Low,<30,ICT
2,5.41,62.9,79.6,4,25.2,4,<6,5.2,Low,<30,ME
1,6.76,59.4,77.5,0,18.9,2,<6,8.1,High,30-60,ME
6,6.38,54.2,63.9,3,14.9,3,6-8,7.4,High,<30,EC
0,7.15,65.9,77.8,-1,16.2,1,6-8,10.7,Low,>60,ICT
2,6.84,55.0,80.7,4,17.8,2,6-8,7.4,Medium,<30,ME
6,5.09,41.2,56.8,6,9.1,0,6-8,16.5,Medium,<30,ICT
4,4.02,40.8,64.3,3,3.2,2,6-8,7.9,Medium,<30,CE
5,5.9,60.5,73.8,4,17.1,1,6-8,15.1,Medium,30-60,EC
0,6.92,61.1,70.8,-1,20.6,3,6-8,10.0,Medium,<30,ME
