last_sem_spi,internal_assessment_avg,attendance_percentage,total_backlogs,pyq_solving_frequency,study_hours_weekly,sleep_category,gaming_hours_weekly,assignment_delay_count,department,travel_time_category,extra_curricular_level,sleep_score,travel_score,extra_score,ps,performance_category
5.1,61.8,32.4,2,0,47.3,>8,29.6,2,IT,<30,High,0.8,1.0,1.0,36.98,At Risk
8.07,53.1,61.2,0,2,12.7,6-8,24.5,1,EE,<30,Medium,1.0,1.0,0.7,53.48,Average
2.8,38.9,40.9,1,5,10.4,<6,29.5,2,EC,>60,Medium,0.3,0.4,0.7,23.88,At Risk
5.63,31.3,40.2,1,4,12.9,<6,23.7,0,EC,<30,Low,0.3,1.0,0.3,29.23,At Risk
6.33,43.1,86.4,2,5,32.3,6-8,12.4,2,CE,>60,Medium,1.0,0.4,0.7,60.75,Average
1.42,36.4,50.5,3,1,40.5,<6,4.0,1,EC,<30,Low,0.3,1.0,0.3,17.0,At Risk
6.47,77.1,56.1,2,0,38.5,6-8,11.5,3,EC,<30,Low,1.0,1.0,0.3,52.28,Average
2.53,36.7,87.4,1,0,46.0,>8,27.6,1,EC,<30,High,0.8,1.0,1.0,34.42,At Risk
1.59,73.5,27.0,1,4,38.0,<6,14.6,1,IT,>60,Medium,0.3,0.4,0.7,40.91,Average
9.54,53.1,67.6,1,2,50.0,<6,9.7,3,ME,30-60,Low,0.3,0.7,0.3,63.45,Average
9.69,34.4,66.3,0,1,29.7,6-8,15.2,1,EE,30-60,Low,1.0,0.7,0.3,56.34,Average
8.28,78.8,54.0,0,5,49.8,>8,23.7,0,ME,>60,High,0.8,0.4,1.0,85.34,Good
3.74,64.8,86.4,2,1,29.2,6-8,18.7,1,CE,30-60,Low,1.0,0.7,0.3,47.37,Average
1.88,44.1,95.4,0,5,8.6,6-8,15.8,0,IT,30-60,High,1.0,0.7,1.0,48.17,Average
7.16,83.7,57.2,0,1,41.2,<6,29.4,3,EC,<30,Medium,0.3,1.0,0.7,59.11,Average
4.96,32.7,56.5,2,1,44.9,6-8,17.9,1,CE,>60,Low,1.0,0.4,0.3,36.73,At Risk
2.1,42.1,60.2,1,3,25.2,>8,3.9,1,ME,>60,High,0.8,0.4,1.0,37.76,At Risk
5.46,75.1,77.8,0,0,11.7,6-8,23.6,2,CE,>60,High,1.0,0.4,1.0,54.21,Average
1.31,72.6,73.4,0,5,47.2,>8,5.1,3,EE,<30,Medium,0.8,1.0,0.7,57.81,Average
9.18,47.4,37.8,0,3,45.6,>8,25.6,2,ME,30-60,High,0.8,0.7,1.0,60.42,Average
3.33,33.7,25.1,1,3,16.8,>8,6.4,2,EE,<30,Medium,0.8,1.0,0.7,22.29,At Risk
6.96,81.5,95.9,2,2,12.7,<6,27.3,2,ME,30-60,Low,0.3,0.7,0.3,58.08,Average
3.81,48.8,40.9,1,0,9.2,6-8,21.3,1,ICT,<30,High,1.0,1.0,1.0,25.22,At Risk
5.68,41.7,71.1,0,5,15.0,6-8,23.4,3,ICT,>60,Low,1.0,0.4,0.3,48.68,Average
5.92,61.0,86.3,2,2,42.1,6-8,29.0,1,CE,30-60,High,1.0,0.7,1.0,60.08,Average
2.66,84.6,44.0,1,3,31.2,6-8,8.6,0,ME,>60,Medium,1.0,0.4,0.7,56.25,Average
9.73,32.6,70.8,3,2,26.7,6-8,10.3,3,ME,<30,High,1.0,1.0,1.0,50.73,Average
7.98,75.9,28.6,1,3,45.5,<6,15.8,2,EE,>60,Low,0.3,0.4,0.3,61.03,Average
9.46,64.3,97.6,1,4,20.4,<6,17.3,1,IT,30-60,Medium,0.3,0.7,0.7,74.86,Good
9.05,55.5,24.7,4,3,26.0,<6,16.8,2,CE,30-60,High,0.3,0.7,1.0,43.93,Average
6.38,74.6,55.1,1,0,48.0,<6,19.2,0,CE,30-60,Medium,0.3,0.7,0.7,57.07,Average
9.3,87.9,62.9,1,2,17.4,<6,27.7,2,IT,30-60,High,0.3,0.7,1.0,67.46,Average
1.8,43.8,83.2,2,1,36.1,6-8,7.3,1,CE,>60,Low,1.0,0.4,0.3,36.4,At Risk
2.76,38.6,29.7,1,1,12.6,6-8,2.9,0,ME,30-60,Medium,1.0,0.7,0.7,23.51,At Risk
1.41,84.8,55.3,1,0,29.9,6-8,2.7,0,EE,>60,Medium,1.0,0.4,0.7,47.89,Average
3.93,70.1,44.0,0,2,43.3,6-8,13.7,0,CE,>60,Low,1.0,0.4,0.3,55.25,Average
4.5,56.3,45.0,0,1,18.4,<6,14.5,1,IT,30-60,Low,0.3,0.7,0.3,34.77,At Risk
3.44,64.4,82.3,1,2,12.9,6-8,29.7,2,EE,30-60,Low,1.0,0.7,0.3,41.58,Average
8.46,74.7,20.4,1,1,44.4,>8,3.9,0,CE,<30,Low,0.8,1.0,0.3,61.45,Average
4.21,76.4,79.9,3,0,13.1,6-8,10.0,4,EC,>60,Medium,1.0,0.4,0.7,42.68,Average
3.53,85.2,84.8,0,1,45.9,<6,22.9,3,EE,<30,Medium,0.3,1.0,0.7,56.22,Average
5.88,55.6,92.1,2,5,37.6,<6,4.9,2,CE,<30,Medium,0.3,1.0,0.7,62.16,Average
2.27,47.6,70.2,1,1,12.7,6-8,25.8,0,EC,30-60,Low,1.0,0.7,0.3,28.89,At Risk
8.22,68.4,46.7,1,1,45.4,6-8,9.3,1,EC,>60,Low,1.0,0.4,0.3,65.3,Average
1.67,54.9,54.2,1,0,16.1,<6,0.1,1,ICT,<30,Low,0.3,1.0,0.3,22.74,At Risk
9.88,65.7,97.6,0,3,16.5,<6,12.1,1,EE,>60,Medium,0.3,0.4,0.7,77.91,Good
7.95,55.2,90.5,3,2,39.1,6-8,9.8,0,CE,<30,Low,1.0,1.0,0.3,64.39,Average
2.79,39.2,57.1,1,4,32.8,<6,20.6,1,EE,30-60,High,0.3,0.7,1.0,35.06,At Risk
1.05,58.2,95.4,1,4,42.3,6-8,13.9,1,ICT,30-60,Medium,1.0,0.7,0.7,53.46,Average
8.34,71.5,85.8,0,1,22.7,<6,6.2,4,CE,30-60,Low,0.3,0.7,0.3,62.64,Average
7.36,78.0,92.1,4,2,37.7,6-8,5.8,1,EC,30-60,Low,1.0,0.7,0.3,69.96,Average
7.56,59.6,74.6,2,1,29.8,6-8,19.8,2,ME,30-60,High,1.0,0.7,1.0,56.84,Average
7.94,39.9,88.6,3,2,28.3,<6,20.7,2,ICT,30-60,Medium,0.3,0.7,0.7,47.14,Average
1.67,54.9,91.3,1,4,33.3,6-8,24.6,3,IT,<30,Low,1.0,1.0,0.3,42.64,Average
4.23,77.2,27.4,2,5,46.0,6-8,29.3,0,EE,30-60,Medium,1.0,0.7,0.7,56.06,Average
2.04,54.8,97.2,3,1,33.3,6-8,16.1,2,ME,>60,Low,1.0,0.4,0.3,38.61,At Risk
8.77,71.8,46.7,1,1,29.5,6-8,24.5,1,EC,30-60,Low,1.0,0.7,0.3,59.85,Average
6.61,60.4,55.2,2,2,49.3,>8,4.6,2,CE,<30,Medium,0.8,1.0,0.7,56.91,Average
3.98,44.5,83.4,2,5,42.3,6-8,5.0,4,EE,>60,Medium,1.0,0.4,0.7,53.56,Average
1.57,77.8,73.2,0,3,5.6,6-8,23.0,0,ICT,<30,Low,1.0,1.0,0.3,44.8,Average
3.8,35.1,91.4,1,1,15.7,6-8,2.2,2,EE,<30,Low,1.0,1.0,0.3,35.55,At Risk
3.93,61.5,52.0,1,4,24.7,6-8,21.5,1,EC,<30,Medium,1.0,1.0,0.7,46.97,Average
7.57,42.5,49.9,1,1,24.9,<6,4.9,2,ICT,30-60,Low,0.3,0.7,0.3,40.82,Average
6.74,34.0,22.5,0,0,47.9,6-8,7.4,2,CE,<30,Medium,1.0,1.0,0.7,38.4,At Risk
8.98,60.2,57.0,3,0,18.5,<6,8.1,1,EC,>60,Medium,0.3,0.4,0.7,49.43,Average
5.25,60.0,77.9,1,5,48.7,<6,25.7,0,CE,>60,Low,0.3,0.4,0.3,63.47,Average
2.08,72.4,44.1,1,3,6.5,<6,5.2,1,EC,<30,Medium,0.3,1.0,0.7,34.53,At Risk
7.42,74.7,57.0,2,2,45.7,6-8,4.8,1,IT,30-60,Medium,1.0,0.7,0.7,69.17,Average
7.85,73.7,37.6,0,0,33.7,>8,1.9,1,EE,30-60,Low,0.8,0.7,0.3,59.78,Average
6.05,54.6,81.8,1,1,23.4,>8,29.6,2,ME,<30,Medium,0.8,1.0,0.7,46.07,Average
7.94,67.9,24.8,1,1,49.6,>8,16.4,1,ICT,30-60,Medium,0.8,0.7,0.7,57.7,Average
5.44,64.6,76.4,0,5,49.9,<6,18.5,0,IT,<30,High,0.3,1.0,1.0,70.34,Good
5.7,55.3,50.3,2,2,23.9,<6,26.8,0,EE,<30,Low,0.3,1.0,0.3,37.01,At Risk
4.85,65.8,23.3,1,0,13.7,<6,3.7,2,IT,30-60,Low,0.3,0.7,0.3,29.32,At Risk
1.23,86.8,88.3,0,4,25.6,6-8,4.0,1,ICT,<30,Low,1.0,1.0,0.3,61.6,Average
1.97,41.6,59.0,1,2,42.5,<6,9.3,0,EE,<30,Medium,0.3,1.0,0.7,32.99,At Risk
1.28,84.3,67.9,1,4,36.7,6-8,1.8,0,ICT,30-60,High,1.0,0.7,1.0,62.47,Average
6.73,33.2,78.6,2,1,7.7,6-8,29.9,0,IT,30-60,Low,1.0,0.7,0.3,35.85,At Risk
3.83,48.5,72.4,0,4,15.0,<6,22.1,3,IT,30-60,Medium,0.3,0.7,0.7,39.03,At Risk
5.58,47.3,78.5,0,2,26.0,6-8,24.6,1,ME,>60,Low,1.0,0.4,0.3,50.86,Average
9.17,67.6,81.0,1,0,48.1,<6,27.1,2,IT,<30,Medium,0.3,1.0,0.7,64.15,Average
3.24,37.9,67.1,1,2,32.8,<6,22.8,0,EE,30-60,Medium,0.3,0.7,0.7,33.38,At Risk
4.69,82.9,49.3,1,3,7.3,6-8,11.3,2,CE,30-60,Low,1.0,0.7,0.3,50.81,Average
7.8,79.7,39.5,0,3,22.3,>8,1.0,2,IT,30-60,Low,0.8,0.7,0.3,65.59,Average
3.06,69.1,92.2,2,4,45.8,6-8,2.5,4,CE,<30,Medium,1.0,1.0,0.7,59.51,Average
1.69,57.5,97.6,3,1,27.8,6-8,0.7,0,ICT,<30,Medium,1.0,1.0,0.7,42.73,Average
3.61,86.0,48.6,1,0,9.4,6-8,27.1,0,IT,<30,Medium,1.0,1.0,0.7,41.34,Average
2.45,79.8,29.0,0,4,31.9,6-8,14.2,2,EC,>60,Medium,1.0,0.4,0.7,50.67,Average
9.37,60.0,37.8,2,2,35.5,6-8,29.9,1,ME,30-60,Low,1.0,0.7,0.3,55.56,Average
8.27,72.1,73.7,1,3,38.9,<6,11.6,2,IT,30-60,Medium,0.3,0.7,0.7,70.58,Good
6.7,64.0,33.8,1,0,20.1,6-8,12.1,4,EE,30-60,Low,1.0,0.7,0.3,38.87,At Risk
8.84,65.3,82.4,0,3,36.5,6-8,6.4,2,IT,30-60,Low,1.0,0.7,0.3,77.49,Good
8.23,49.9,93.8,1,0,19.4,6-8,9.8,1,EE,<30,Medium,1.0,1.0,0.7,57.99,Average
2.68,57.7,97.1,3,0,28.4,>8,9.8,1,CE,<30,High,0.8,1.0,1.0,40.18,Average
9.03,34.7,20.7,0,3,5.9,6-8,29.4,4,ICT,30-60,Low,1.0,0.7,0.3,33.91,At Risk
5.85,51.4,96.7,0,3,35.3,>8,4.5,2,EE,<30,Medium,0.8,1.0,0.7,63.66,Average
8.27,71.7,79.2,1,5,22.0,<6,28.3,1,EE,>60,High,0.3,0.4,1.0,72.36,Good
9.06,87.2,26.7,0,2,36.7,>8,28.0,1,CE,30-60,Low,0.8,0.7,0.3,67.56,Average
3.86,87.8,53.2,1,2,48.4,<6,18.8,0,EC,30-60,Low,0.3,0.7,0.3,57.07,Average
1.99,63.3,76.0,1,0,8.6,6-8,18.0,2,ME,30-60,Medium,1.0,0.7,0.7,32.22,At Risk
3.05,66.4,96.5,1,2,43.7,6-8,9.9,4,IT,<30,Medium,1.0,1.0,0.7,54.5,Average
4.84,41.1,33.1,1,2,15.5,6-8,12.0,2,EE,30-60,Medium,1.0,0.7,0.7,30.96,At Risk
8.36,71.7,30.2,0,2,15.9,<6,6.8,0,CE,<30,Low,0.3,1.0,0.3,55.26,Average
8.75,34.2,57.8,0,5,15.2,6-8,11.1,3,ICT,30-60,Low,1.0,0.7,0.3,54.68,Average
1.06,47.1,97.4,1,0,11.2,<6,15.1,1,CE,30-60,Low,0.3,0.7,0.3,24.16,At Risk
5.6,70.1,97.7,1,1,13.8,6-8,25.1,3,CE,<30,Medium,1.0,1.0,0.7,52.75,Average
4.76,48.6,38.2,0,1,38.4,6-8,9.7,0,EC,<30,Low,1.0,1.0,0.3,42.35,Average
3.0,33.0,45.5,1,4,39.6,6-8,11.7,3,ME,<30,Low,1.0,1.0,0.3,31.68,At Risk
2.08,79.9,92.6,0,1,48.3,>8,4.2,2,ME,<30,Low,0.8,1.0,0.3,58.59,Average
4.04,48.6,78.8,2,3,9.7,6-8,3.0,1,ME,>60,High,1.0,0.4,1.0,46.47,Average
9.49,33.8,97.8,1,3,11.8,6-8,0.3,2,EE,30-60,Medium,1.0,0.7,0.7,63.6,Average
3.91,34.5,91.5,0,2,44.8,6-8,23.1,3,EC,30-60,Low,1.0,0.7,0.3,43.96,Average
5.67,45.1,37.2,1,4,30.4,>8,16.8,1,EC,30-60,High,0.8,0.7,1.0,46.27,Average
7.33,40.7,80.8,1,5,29.5,6-8,16.5,1,ICT,30-60,High,1.0,0.7,1.0,64.23,Average
4.27,76.5,23.9,1,5,39.7,6-8,4.5,2,IT,>60,Medium,1.0,0.4,0.7,58.88,Average
9.75,49.3,85.4,1,2,29.9,>8,22.2,0,ME,>60,Medium,0.8,0.4,0.7,69.1,Average
9.66,78.3,68.1,1,2,7.8,<6,14.7,3,ICT,>60,Low,0.3,0.4,0.3,62.84,Average
3.27,40.4,96.5,0,1,45.5,<6,15.9,0,IT,<30,Low,0.3,1.0,0.3,43.75,Average
5.48,59.6,96.8,0,2,11.0,<6,28.9,1,IT,<30,Low,0.3,1.0,0.3,48.2,Average
3.71,71.3,24.1,5,4,26.6,6-8,20.2,2,CE,>60,High,1.0,0.4,1.0,36.85,At Risk
3.56,69.1,32.8,1,1,21.4,6-8,24.3,3,ME,<30,Low,1.0,1.0,0.3,30.5,At Risk
1.33,66.1,58.7,2,4,21.6,>8,17.8,1,ME,<30,Low,0.8,1.0,0.3,36.09,At Risk
6.49,85.5,90.4,0,2,17.8,6-8,19.1,2,EC,30-60,Medium,1.0,0.7,0.7,70.69,Good
5.52,43.7,85.2,1,2,48.1,6-8,28.3,2,EE,30-60,Low,1.0,0.7,0.3,51.06,Average
1.46,59.6,97.1,0,1,8.8,>8,29.6,0,EE,>60,Medium,0.8,0.4,0.7,39.37,At Risk
3.51,83.0,69.4,2,0,41.1,<6,11.4,2,EC,<30,Medium,0.3,1.0,0.7,46.93,Average
9.17,34.7,40.5,4,1,22.7,<6,17.8,0,IT,<30,Low,0.3,1.0,0.3,32.47,At Risk
3.16,33.4,22.0,0,0,7.4,6-8,26.2,0,EC,<30,Medium,1.0,1.0,0.7,13.2,At Risk
2.3,44.0,37.8,0,0,30.8,<6,20.2,2,CE,>60,Medium,0.3,0.4,0.7,20.95,At Risk
5.41,68.0,74.0,1,5,21.7,<6,14.8,1,ME,<30,Low,0.3,1.0,0.3,57.31,Average
9.87,45.6,94.1,1,1,14.9,<6,20.9,2,ME,<30,Medium,0.3,1.0,0.7,54.92,Average
3.18,41.4,45.7,0,2,21.7,>8,14.9,2,EE,<30,High,0.8,1.0,1.0,30.48,At Risk
7.05,57.5,90.1,3,4,49.0,6-8,24.9,0,IT,<30,Low,1.0,1.0,0.3,66.77,Average
7.85,66.8,51.6,1,2,39.5,6-8,15.9,4,CE,>60,Medium,1.0,0.4,0.7,60.74,Average
3.14,44.9,44.7,1,0,41.9,6-8,16.5,0,ICT,30-60,Low,1.0,0.7,0.3,32.4,At Risk
7.55,48.0,60.7,0,3,28.6,>8,20.2,1,ICT,>60,Medium,0.8,0.4,0.7,58.32,Average
4.31,66.8,55.4,0,4,18.3,6-8,16.4,1,IT,>60,Medium,1.0,0.4,0.7,55.3,Average
6.69,86.7,93.1,1,2,29.7,6-8,22.0,1,IT,30-60,High,1.0,0.7,1.0,75.63,Good
6.7,70.5,57.5,2,3,29.6,>8,9.6,2,EE,30-60,Medium,0.8,0.7,0.7,59.11,Average
5.82,77.0,42.2,3,3,11.7,6-8,7.0,0,EE,<30,High,1.0,1.0,1.0,52.69,Average
1.81,52.0,87.4,0,4,34.8,6-8,22.7,0,EE,>60,Medium,1.0,0.4,0.7,52.75,Average
8.52,46.3,99.9,0,0,40.2,<6,23.3,2,ICT,30-60,Low,0.3,0.7,0.3,57.92,Average
3.89,57.3,71.9,1,5,29.7,6-8,18.0,0,ME,30-60,High,1.0,0.7,1.0,58.34,Average
2.68,78.4,40.0,3,3,22.9,6-8,17.3,0,CE,<30,Low,1.0,1.0,0.3,40.01,Average
1.37,57.4,39.1,0,3,33.7,<6,6.7,1,EC,30-60,Medium,0.3,0.7,0.7,35.37,At Risk
6.32,80.8,24.6,2,4,29.2,6-8,2.7,1,ICT,30-60,Medium,1.0,0.7,0.7,61.04,Average
7.1,89.3,26.2,0,1,8.7,<6,0.5,1,ICT,>60,Medium,0.3,0.4,0.7,56.3,Average
1.15,34.3,93.2,2,4,21.9,6-8,21.1,1,EC,30-60,Medium,1.0,0.7,0.7,33.54,At Risk
5.61,32.7,27.7,2,5,46.7,>8,25.7,2,ICT,>60,Low,0.8,0.4,0.3,38.32,At Risk
3.04,39.0,58.7,0,0,7.8,>8,29.5,3,IT,30-60,Medium,0.8,0.7,0.7,18.41,At Risk
6.81,53.1,75.8,2,2,17.8,<6,29.0,1,ME,30-60,Medium,0.3,0.7,0.7,44.95,Average
2.57,37.9,88.0,0,2,43.5,6-8,27.7,1,EE,<30,Medium,1.0,1.0,0.7,42.06,Average
7.22,82.2,33.7,0,5,5.1,6-8,7.5,0,ICT,<30,Medium,1.0,1.0,0.7,66.89,Average
4.48,31.4,55.0,0,3,47.4,>8,3.2,0,EE,<30,Low,0.8,1.0,0.3,45.8,Average
9.43,48.9,40.1,0,3,36.0,6-8,3.5,0,ME,<30,Medium,1.0,1.0,0.7,66.61,Average
2.24,41.1,40.5,1,5,22.1,<6,7.8,1,EC,<30,Medium,0.3,1.0,0.7,29.93,At Risk
4.07,85.9,44.3,2,3,6.3,6-8,1.8,3,EE,<30,Medium,1.0,1.0,0.7,46.84,Average
2.02,70.2,67.0,3,2,7.1,6-8,21.6,0,ME,>60,Medium,1.0,0.4,0.7,36.55,At Risk
9.32,84.7,21.3,0,2,18.3,<6,25.4,4,EE,<30,High,0.3,1.0,1.0,55.09,Average
8.9,88.3,52.7,1,0,34.7,>8,6.5,0,CE,>60,Medium,0.8,0.4,0.7,74.42,Good
3.32,59.8,34.9,4,5,8.0,6-8,4.8,3,EE,30-60,Medium,1.0,0.7,0.7,32.24,At Risk
6.94,44.1,97.4,2,1,44.7,6-8,3.5,3,ICT,<30,High,1.0,1.0,1.0,58.44,Average
8.35,41.6,66.6,2,1,43.6,6-8,10.4,1,EE,30-60,Low,1.0,0.7,0.3,54.91,Average
6.0,43.4,89.4,0,3,17.8,6-8,25.2,3,EC,<30,Low,1.0,1.0,0.3,47.93,Average
5.77,72.5,35.7,1,0,13.8,6-8,18.3,4,ME,>60,Medium,1.0,0.4,0.7,39.22,At Risk
3.18,32.4,84.8,0,1,24.3,<6,17.3,0,EC,30-60,Medium,0.3,0.7,0.7,33.66,At Risk
1.84,33.1,53.2,1,3,17.7,6-8,25.6,2,EC,>60,Low,1.0,0.4,0.3,21.7,At Risk
9.07,66.5,34.2,3,1,47.8,<6,11.6,2,EE,>60,Low,0.3,0.4,0.3,53.94,Average
9.1,68.5,80.9,1,1,31.2,<6,4.5,2,ME,<30,Low,0.3,1.0,0.3,65.29,Average
6.7,69.9,81.0,2,2,38.1,6-8,2.4,1,CE,>60,Low,1.0,0.4,0.3,68.3,Average
4.05,52.3,99.7,0,0,28.9,<6,17.8,2,ME,<30,Low,0.3,1.0,0.3,41.5,Average
4.14,78.4,82.5,1,2,42.6,6-8,2.7,0,IT,30-60,Medium,1.0,0.7,0.7,68.78,Average
7.53,62.0,31.6,0,3,9.4,>8,28.9,3,ME,<30,Medium,0.8,1.0,0.7,44.54,Average
9.07,36.3,45.8,2,1,37.5,6-8,18.2,1,IT,>60,High,1.0,0.4,1.0,50.7,Average
8.98,77.8,56.1,1,5,39.5,6-8,4.0,3,IT,<30,Low,1.0,1.0,0.3,78.34,Good
8.02,87.2,30.1,1,2,21.2,6-8,20.7,4,IT,<30,Low,1.0,1.0,0.3,54.87,Average
6.78,33.6,83.0,0,2,8.8,>8,3.0,0,EC,<30,Low,0.8,1.0,0.3,48.12,Average
1.76,53.5,62.1,2,2,34.4,6-8,24.8,1,EE,30-60,Medium,1.0,0.7,0.7,34.08,At Risk
2.45,59.3,95.6,0,5,18.7,>8,17.9,2,CE,30-60,High,0.8,0.7,1.0,54.61,Average
9.09,38.8,67.1,0,1,31.3,6-8,12.4,2,ME,>60,Low,1.0,0.4,0.3,56.87,Average
6.46,82.1,61.8,3,1,44.6,6-8,14.4,0,EC,<30,Low,1.0,1.0,0.3,61.73,Average
1.08,47.0,25.7,2,5,42.4,<6,2.2,0,EE,<30,Medium,0.3,1.0,0.7,30.93,At Risk
1.91,77.0,31.9,1,3,30.9,>8,22.5,0,EC,<30,Low,0.8,1.0,0.3,39.43,At Risk
6.97,70.3,88.0,1,2,9.9,>8,10.1,2,CE,>60,Medium,0.8,0.4,0.7,62.56,Average
1.05,65.9,99.3,2,1,25.1,<6,6.6,2,ICT,<30,Medium,0.3,1.0,0.7,37.19,At Risk
2.45,41.5,53.2,1,3,37.7,<6,17.3,2,CE,30-60,Medium,0.3,0.7,0.7,30.73,At Risk
5.94,43.2,84.8,1,3,30.5,6-8,22.9,1,IT,>60,Medium,1.0,0.4,0.7,55.2,Average
7.23,32.8,70.2,0,2,19.8,6-8,4.3,1,CE,<30,High,1.0,1.0,1.0,51.49,Average
6.87,44.4,96.7,0,3,18.9,6-8,2.6,1,ME,<30,Medium,1.0,1.0,0.7,62.93,Average
3.02,50.7,39.1,2,4,35.5,<6,21.6,1,ICT,30-60,Medium,0.3,0.7,0.7,33.48,At Risk
7.41,80.0,63.6,1,0,33.4,>8,4.5,2,CE,30-60,Low,0.8,0.7,0.3,62.48,Average
3.14,52.0,52.7,0,3,31.7,6-8,4.5,4,EC,>60,Low,1.0,0.4,0.3,41.75,Average
3.93,75.3,63.3,1,0,47.8,6-8,23.8,1,ICT,30-60,High,1.0,0.7,1.0,53.65,Average
7.72,56.4,41.5,1,3,45.3,6-8,29.5,1,EC,30-60,Low,1.0,0.7,0.3,56.87,Average
6.85,77.1,59.8,3,2,19.1,6-8,20.8,1,EE,<30,Medium,1.0,1.0,0.7,54.45,Average
8.64,88.6,70.0,2,0,16.2,<6,6.0,1,EE,30-60,Medium,0.3,0.7,0.7,64.36,Average
6.92,44.4,26.5,1,0,46.5,<6,8.4,4,ICT,<30,Medium,0.3,1.0,0.7,33.79,At Risk
6.11,81.7,79.4,1,0,14.4,<6,21.6,2,ICT,30-60,Medium,0.3,0.7,0.7,51.76,Average
1.84,67.3,76.5,0,5,49.0,6-8,13.1,0,EC,30-60,Low,1.0,0.7,0.3,62.63,Average
4.31,79.0,90.4,0,5,14.7,6-8,22.4,3,ME,30-60,Low,1.0,0.7,0.3,63.19,Average
3.39,69.1,54.1,1,0,9.9,<6,26.1,1,ME,30-60,Medium,0.3,0.7,0.7,30.2,At Risk
3.2,55.4,24.9,1,3,22.6,>8,3.2,0,CE,30-60,Medium,0.8,0.7,0.7,37.58,At Risk
9.76,43.7,56.9,0,5,45.5,<6,15.7,3,EC,<30,Medium,0.3,1.0,0.7,65.54,Average
4.54,34.2,31.0,3,0,37.9,6-8,18.7,2,EE,>60,Medium,1.0,0.4,0.7,22.7,At Risk
9.03,62.1,71.8,0,5,31.9,<6,22.0,2,ME,30-60,Low,0.3,0.7,0.3,70.33,Good
6.68,89.4,23.8,1,2,36.6,6-8,14.9,0,ME,>60,Low,1.0,0.4,0.3,63.77,Average
8.15,74.3,49.9,1,5,28.4,6-8,18.8,1,ICT,>60,Medium,1.0,0.4,0.7,73.18,Good
5.52,49.6,26.6,2,2,19.3,6-8,10.2,2,EC,30-60,Low,1.0,0.7,0.3,32.96,At Risk
6.19,79.6,20.3,1,4,27.4,>8,8.5,2,IT,<30,High,0.8,1.0,1.0,56.84,Average
